,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
215,160,Wenyen Gabriel,PF,22,SAC,11,61,7.5,.444,.471,.588,7.2,11.4,9.2,6.7,2.4,3.1,18.9,18.9,,-0.1,0.1,0.0,-0.027,,-4.4,0.4,-3.9,0.0
216,160,Wenyen Gabriel,PF,22,POR,16,148,10.5,.614,.414,.345,9.9,15.2,12.6,4.4,2.3,2.3,24.8,12.7,,0.1,0.1,0.2,.072,,-3.7,0.0,-3.7,-0.1
217,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
218,161,Daniel Gafford,C,21,CHI,42,588,16.2,.681,.000,.447,8.9,10.3,9.6,5.1,1.1,8.6,14.6,13.4,,1.1,0.7,1.8,.146,,-2.9,1.5,-1.4,0.1
219,162,Danilo Gallinari,PF,31,OKC,55,1690,19.5,.611,.538,.352,2.2,17.1,9.9,10.5,1.2,0.2,7.5,24.4,,4.1,1.6,5.7,.163,,4.2,-1.0,3.2,2.2
220,163,Langston Galloway,SG,28,DET,65,1674,12.2,.585,.617,.160,2.1,7.9,5.0,8.7,1.4,0.5,6.6,15.8,,2.3,0.7,3.1,.088,,0.0,-0.8,-0.8,0.5
221,164,Darius Garland,PG,20,CLE,59,1824,8.5,.498,.423,.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.6,,-1.3,0.0,-1.3,-0.034,,-2.7,-3.0,-5.7,-1.7
222,165,Marc Gasol,C,35,TOR,36,990,11.9,.546,.538,.153,3.2,20.8,12.2,16.9,1.3,3.2,14.6,12.7,,0.9,1.8,2.6,.128,,-0.8,2.6,1.8,1.0
223,166,Rudy Gay,PF,33,SAS,59,1267,14.3,.542,.369,.227,4.8,22.3,13.5,11.5,1.0,1.9,12.6,21.1,,0.5,0.9,1.4,.052,,-0.5,-1.1,-1.5,0.2
224,167,Paul George,SF,29,LAC,41,1199,20.4,.583,.493,.280,1.9,18.3,10.3,21.0,2.2,1.5,13.2,29.6,,1.8,2.0,3.8,.151,,3.4,1.1,4.5,2.0
225,168,Taj Gibson,C,34,NYK,60,988,15.7,.600,.043,.196,11.5,16.8,14.1,7.8,1.2,2.5,13.3,14.8,,1.6,0.7,2.4,.114,,-0.9,-0.5,-1.4,0.2
226,169,Harry Giles,PF,21,SAC,38,579,16.3,.586,.000,.208,6.3,25.2,15.5,13.4,1.8,2.3,13.4,19.6,,0.7,0.7,1.4,.120,,-2.2,1.1,-1.1,0.1
227,170,Shai Gilgeous-Alexander,SG,21,OKC,63,2214,17.9,.566,.237,.339,2.3,16.4,9.6,14.8,1.5,1.7,9.8,23.7,,2.9,2.6,5.5,.120,,1.3,0.3,1.6,2.0
228,171,Rudy Gobert,C,27,UTA,62,2142,21.8,.700,.000,.725,11.3,31.3,21.8,6.5,1.1,4.8,15.2,16.1,,6.0,4.0,10.0,.225,,1.8,1.9,3.7,3.1
229,172,Brandon Goodwin,PG,24,ATL,34,430,11.7,.507,.458,.158,2.7,15.4,9.0,18.0,1.3,0.8,12.5,22.4,,-0.1,0.2,0.1,.012,,-1.5,-1.3,-2.8,-0.1
230,173,Aaron Gordon,PF,24,ORL,57,1882,14.9,.512,.312,.280,5.7,19.5,12.4,16.9,1.3,1.7,10.2,20.7,,1.2,2.1,3.3,.084,,-0.4,0.1,-0.3,0.8
231,174,Eric Gordon,SG,31,HOU,33,943,10.6,.512,.660,.234,0.9,6.1,3.5,7.9,1.1,1.1,7.0,21.9,,0.2,0.5,0.8,.038,,-1.4,-1.9,-3.3,-0.3
232,175,Devonte' Graham,PG,24,CHO,62,2174,15.6,.533,.608,.247,2.0,8.8,5.3,35.3,1.4,0.6,14.4,24.7,,2.3,0.9,3.2,.070,,2.4,-2.1,0.3,1.2
233,176,Treveon Graham,SG,26,TOT,54,917,6.5,.453,.492,.235,5.6,11.6,8.5,6.3,1.2,0.5,9.6,13.1,,-0.2,0.4,0.1,.007,,-4.5,-1.0,-5.5,-0.8
234,176,Treveon Graham,SG,26,MIN,33,663,6.0,.447,.474,.211,4.4,11.7,7.9,6.1,1.2,0.2,9.0,13.0,,-0.2,0.3,0.0,.003,,-5.0,-0.8,-5.8,-0.6
235,176,Treveon Graham,SG,26,ATL,21,254,7.9,.469,.540,.302,8.8,11.1,10.0,6.9,1.3,1.3,11.2,13.1,,0.0,0.1,0.1,.019,,-3.3,-1.5,-4.8,-0.2
236,177,Jerami Grant,PF,25,DEN,63,1659,14.2,.582,.392,.309,3.6,11.6,7.6,6.7,1.3,2.9,8.0,17.9,,2.3,1.7,4.0,.115,,-0.1,-0.3,-0.4,0.7
237,178,Josh Gray,PG,26,NOP,2,23,-5.0,.500,.000,.000,4.6,4.6,4.6,10.4,0.0,0.0,71.4,12.4,,-0.1,0.0,-0.1,-0.224,,-11.2,-4.8,-16.0,-0.1
238,179,Danny Green,SG,32,LAL,60,1500,11.1,.563,.702,.105,3.3,11.4,7.4,7.1,2.3,1.7,10.9,13.9,,1.0,2.3,3.3,.107,,-0.8,1.6,0.8,1.1
239,180,Draymond Green,PF,29,GSW,43,1222,12.6,.489,.408,.263,2.0,22.3,11.8,31.2,2.3,2.4,21.8,15.7,,-0.2,1.3,1.2,.045,,-2.1,1.8,-0.3,0.5
240,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
241,181,JaMychal Green,PF,29,LAC,54,1104,10.6,.547,.673,.150,7.0,24.1,15.8,4.9,1.1,1.6,12.3,13.5,,0.7,1.8,2.5,.108,,-1.6,0.6,-1.0,0.3
242,182,Javonte Green,SF,26,BOS,44,414,12.3,.558,.235,.367,4.7,15.9,10.4,7.6,2.7,1.6,13.7,13.6,,0.3,0.7,1.0,.113,,-2.4,1.8,-0.7,0.1
243,183,Jeff Green,PF,33,TOT,39,734,13.2,.582,.518,.286,3.5,12.6,8.2,6.3,1.4,1.7,11.1,19.1,,0.6,0.8,1.4,.093,,-0.3,0.1,-0.2,0.3
244,183,Jeff Green,PF,33,UTA,30,553,10.1,.523,.533,.323,2.9,12.7,8.0,5.2,1.1,1.5,10.8,19.8,,0.0,0.6,0.6,.048,,-1.8,-0.2,-2.1,0.0
245,183,Jeff Green,PF,33,HOU,9,181,22.4,.784,.467,.167,5.2,12.2,8.7,9.6,2.3,2.4,12.3,16.7,,0.7,0.2,0.9,.229,,4.5,1.0,5.5,0.3
246,184,Blake Griffin,PF,30,DET,18,512,11.9,.476,.444,.392,3.7,15.0,9.3,18.0,0.7,1.1,12.0,28.4,,-0.4,0.3,-0.1,-0.010,,-1.7,-2.6,-4.2,-0.3
247,185,Marko Guduric,SG,24,MEM,42,476,8.8,.515,.526,.162,3.1,12.3,7.8,12.4,1.2,1.5,17.9,17.6,,-0.2,0.4,0.1,.013,,-2.6,-0.9,-3.5,-0.2
248,186,Kyle Guy,SG,22,SAC,2,4,9.8,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,,0.0,0.0,0.0,-0.022,,-1.4,-2.7,-4.1,0.0
249,187,Rui Hachimura,PF,21,WAS,40,1189,13.8,.539,.160,.238,5.6,17.1,11.1,8.3,1.3,0.4,7.4,18.8,,1.2,0.3,1.6,.063,,-1.1,-2.1,-3.2,-0.4
250,188,Devon Hall,SG,24,OKC,5,20,3.6,.370,.400,.800,0.0,5.4,2.8,19.1,0.0,0.0,12.9,17.1,,0.0,0.0,0.0,-0.064,,-6.2,-3.6,-9.7,0.0
251,189,Donta Hall,PF,22,DET,3,41,7.7,.434,.000,1.000,13.7,16.8,15.2,6.2,1.2,2.0,25.8,8.3,,0.0,0.0,0.0,.050,,-4.6,-1.1,-5.6,0.0
252,190,Dusty Hannahs,SG,26,MEM,2,13,21.3,.607,.333,.222,0.0,7.9,4.0,0.0,0.0,0.0,0.0,31.6,,0.0,0.0,0.0,.147,,4.9,-2.4,2.5,0.0
253,191,Tim Hardaway,SG,27,DAL,61,1738,15.1,.584,.571,.193,1.3,9.7,5.6,10.3,1.0,0.2,6.8,21.8,,3.1,1.0,4.1,.113,,1.7,-1.3,0.4,1.1
254,192,James Harden,SG,30,HOU,60,2205,28.2,.614,.555,.516,3.0,15.3,9.1,34.4,2.2,2.0,13.9,36.4,,8.5,2.6,11.2,.243,,7.9,1.2,9.1,6.2
255,193,Maurice Harkless,SF,26,TOT,60,1374,9.6,.575,.352,.236,4.1,13.4,8.8,5.9,2.0,2.1,15.0,10.5,,0.7,1.9,2.6,.091,,-2.7,2.0,-0.7,0.5
256,193,Maurice Harkless,SF,26,LAC,50,1141,9.6,.584,.336,.194,4.4,13.5,9.0,5.5,2.0,2.3,16.3,10.3,,0.5,1.7,2.3,.096,,-2.6,2.4,-0.2,0.5
257,193,Maurice Harkless,SF,26,NYK,10,233,9.4,.540,.420,.420,2.7,12.7,7.5,7.7,1.7,1.2,9.2,11.9,,0.2,0.2,0.3,.066,,-3.1,0.1,-3.0,-0.1
